date,fear_greed
01-22-2021,40
01-23-2021,74
01-24-2021,70
01-25-2021,74
01-26-2021,71
01-27-2021,78
01-28-2021,55
01-29-2021,77
01-30-2021,76
01-31-2021,78
02-01-2021,77
02-02-2021,76
02-03-2021,78
02-04-2021,80
02-05-2021,81
02-06-2021,84
02-07-2021,86
02-08-2021,83
02-09-2021,95
02-10-2021,92
02-11-2021,93
02-12-2021,92
02-13-2021,92
02-14-2021,95
02-15-2021,93
02-16-2021,95
02-17-2021,95
02-18-2021,91
02-19-2021,93
02-20-2021,91
02-21-2021,91
02-22-2021,94
02-23-2021,94
02-24-2021,76
02-25-2021,79
02-26-2021,55
02-27-2021,56
02-28-2021,55
03-01-2021,38
03-02-2021,78
03-03-2021,78
03-04-2021,84
03-05-2021,77
03-06-2021,77
03-07-2021,76
03-08-2021,81
03-09-2021,81
03-10-2021,68
03-11-2021,73
03-12-2021,70
03-13-2021,74
03-14-2021,78
03-15-2021,76
03-16-2021,71
03-17-2021,71
03-18-2021,72
03-19-2021,71
03-20-2021,75
03-21-2021,73
03-22-2021,70
03-23-2021,66
03-24-2021,65
03-25-2021,60
03-26-2021,54
03-27-2021,65
03-28-2021,74
03-29-2021,72
03-30-2021,72
03-31-2021,76
04-01-2021,74
04-02-2021,74
04-03-2021,73
04-04-2021,74
04-05-2021,71
04-06-2021,75
04-07-2021,72
04-08-2021,73
04-09-2021,70
04-10-2021,70
04-11-2021,76
04-12-2021,74
04-13-2021,74
04-14-2021,75
04-15-2021,79
04-16-2021,78
04-17-2021,76
04-18-2021,79
04-19-2021,74
04-20-2021,73
04-21-2021,73
04-22-2021,65
04-23-2021,55
04-24-2021,37
04-25-2021,31
04-26-2021,27
04-27-2021,50
04-28-2021,59
04-29-2021,52
04-30-2021,51
05-01-2021,68
05-02-2021,66
05-03-2021,61
05-04-2021,68
05-05-2021,48
05-06-2021,65
05-07-2021,64
05-08-2021,67
05-09-2021,73
05-10-2021,72
05-11-2021,61
05-12-2021,68
05-13-2021,31
05-14-2021,26
05-15-2021,27
05-16-2021,20
05-17-2021,27
05-18-2021,21
05-19-2021,23
05-20-2021,11
05-21-2021,19
05-22-2021,12
05-23-2021,14
05-24-2021,10
05-25-2021,22
05-26-2021,22
05-27-2021,27
05-28-2021,21
05-29-2021,18
05-30-2021,10
05-31-2021,18
06-01-2021,20
06-02-2021,23
06-03-2021,24
06-04-2021,27
06-05-2021,24
06-06-2021,17
06-07-2021,15
06-08-2021,13
06-09-2021,14
06-10-2021,21
06-11-2021,21
06-12-2021,28
06-13-2021,23
06-14-2021,28
06-15-2021,38
06-16-2021,33
06-17-2021,26
06-18-2021,25
06-19-2021,23
06-20-2021,21
06-21-2021,23
06-22-2021,10
06-23-2021,14
06-24-2021,22
06-25-2021,27
06-26-2021,20
06-27-2021,22
06-28-2021,25
06-29-2021,25
06-30-2021,28
07-01-2021,28
07-02-2021,21
07-03-2021,24
07-04-2021,27
07-05-2021,29
07-06-2021,20
07-07-2021,28
07-08-2021,20
07-09-2021,20
07-10-2021,20
07-11-2021,20
07-12-2021,25
07-13-2021,20
07-14-2021,21
07-15-2021,20
07-16-2021,22
07-17-2021,15
07-18-2021,19
07-19-2021,24
07-20-2021,19
07-21-2021,10
07-22-2021,21
07-23-2021,23
07-24-2021,22
07-25-2021,27
07-26-2021,26
07-27-2021,32
07-28-2021,50
07-29-2021,50
07-30-2021,53
07-31-2021,60
08-01-2021,60
08-02-2021,48
08-03-2021,48
08-04-2021,42
08-05-2021,50
08-06-2021,52
08-07-2021,69
08-08-2021,74
08-09-2021,65
08-10-2021,71
08-11-2021,70
08-12-2021,70
08-13-2021,70
08-14-2021,76
08-15-2021,71
08-16-2021,72
08-17-2021,72
08-18-2021,73
08-19-2021,70
08-20-2021,70
08-21-2021,78
08-22-2021,76
08-23-2021,79
08-24-2021,79
08-25-2021,73
08-26-2021,75
08-27-2021,71
08-28-2021,78
08-29-2021,72
08-30-2021,73
08-31-2021,73
09-01-2021,71
09-02-2021,74
09-03-2021,74
09-04-2021,72
09-05-2021,73
09-06-2021,79
09-07-2021,79
09-08-2021,47
09-09-2021,45
09-10-2021,46
09-11-2021,31
09-12-2021,32
09-13-2021,44
09-14-2021,30
09-15-2021,49
09-16-2021,53
09-17-2021,48
09-18-2021,50
09-19-2021,53
09-20-2021,50
09-21-2021,27
09-22-2021,21
09-23-2021,27
09-24-2021,33
09-25-2021,28
09-26-2021,27
09-27-2021,26
09-28-2021,25
09-29-2021,24
09-30-2021,20
10-01-2021,27
10-02-2021,54
10-03-2021,49
10-04-2021,54
10-05-2021,59
10-06-2021,68
10-07-2021,76
10-08-2021,74
10-09-2021,72
10-10-2021,71
10-11-2021,71
10-12-2021,78
10-13-2021,70
10-14-2021,70
10-15-2021,71
10-16-2021,78
10-17-2021,79
10-18-2021,78
10-19-2021,75
10-20-2021,82
10-21-2021,84
10-22-2021,75
10-23-2021,74
10-24-2021,73
10-25-2021,72
10-26-2021,76
10-27-2021,73
10-28-2021,66
10-29-2021,70
10-30-2021,73
10-31-2021,74
11-01-2021,74
11-02-2021,73
11-03-2021,76
11-04-2021,73
11-05-2021,73
11-06-2021,71
11-07-2021,73
11-08-2021,75
11-09-2021,84
11-10-2021,75
11-11-2021,77
11-12-2021,74
11-13-2021,72
11-14-2021,74
11-15-2021,72
11-16-2021,71
11-17-2021,52
11-18-2021,54
11-19-2021,34
11-20-2021,43
11-21-2021,49
11-22-2021,50
11-23-2021,33
11-24-2021,42
11-25-2021,32
11-26-2021,47
11-27-2021,21
11-28-2021,27
11-29-2021,33
11-30-2021,40
12-01-2021,34
12-02-2021,32
12-03-2021,31
12-04-2021,25
12-05-2021,18
12-06-2021,16
12-07-2021,25
12-08-2021,28
12-09-2021,29
12-10-2021,24
12-11-2021,16
12-12-2021,27
12-13-2021,28
12-14-2021,21
12-15-2021,28
12-16-2021,29
12-17-2021,23
12-18-2021,24
12-19-2021,29
12-20-2021,25
12-21-2021,27
12-22-2021,45
12-23-2021,34
12-24-2021,41
12-25-2021,39
12-26-2021,37
12-27-2021,40
12-28-2021,41
12-29-2021,27
12-30-2021,22
12-31-2021,28
01-01-2022,21
01-02-2022,29
01-03-2022,29
01-04-2022,23
01-05-2022,24
01-06-2022,15
01-07-2022,18
01-08-2022,10
01-09-2022,23
01-10-2022,23
01-11-2022,21
01-12-2022,22
01-13-2022,21
01-14-2022,21
01-15-2022,23
01-16-2022,21
01-17-2022,22
01-18-2022,24
01-19-2022,24
01-20-2022,24
01-21-2022,19
01-22-2022,13
01-23-2022,11
01-24-2022,13
01-25-2022,12
01-26-2022,23
01-27-2022,20
01-28-2022,24
01-29-2022,24
01-30-2022,29
01-31-2022,20
02-01-2022,26
02-02-2022,28
02-03-2022,20
02-04-2022,20
02-05-2022,33
02-06-2022,37
02-07-2022,45
02-08-2022,48
02-09-2022,54
02-10-2022,50
02-11-2022,50
02-12-2022,44
02-13-2022,44
02-14-2022,46
02-15-2022,46
02-16-2022,51
02-17-2022,52
02-18-2022,30
02-19-2022,25
02-20-2022,27
02-21-2022,25
02-22-2022,20
02-23-2022,25
02-24-2022,23
02-25-2022,27
02-26-2022,26
02-27-2022,26
02-28-2022,20
03-01-2022,51
03-02-2022,52
03-03-2022,39
03-04-2022,33
03-05-2022,22
03-06-2022,22
03-07-2022,23
03-08-2022,21
03-09-2022,22
03-10-2022,28
03-11-2022,22
03-12-2022,22
03-13-2022,21
03-14-2022,23
03-15-2022,21
03-16-2022,24
03-17-2022,27
03-18-2022,25
03-19-2022,28
03-20-2022,31
03-21-2022,30
03-22-2022,26
03-23-2022,31
03-24-2022,40
03-25-2022,47
03-26-2022,51
03-27-2022,49
03-28-2022,60
03-29-2022,56
03-30-2022,55
03-31-2022,52
04-01-2022,50
04-02-2022,52
04-03-2022,48
04-04-2022,52
04-05-2022,53
04-06-2022,48
04-07-2022,34
04-08-2022,37
04-09-2022,30
04-10-2022,34
04-11-2022,32
04-12-2022,20
04-13-2022,25
04-14-2022,28
04-15-2022,22
04-16-2022,28
04-17-2022,28
04-18-2022,24
04-19-2022,27
04-20-2022,27
04-21-2022,27
04-22-2022,26
04-23-2022,24
04-24-2022,24
04-25-2022,23
04-26-2022,27
04-27-2022,21
04-28-2022,24
04-29-2022,23
04-30-2022,20
05-01-2022,22
05-02-2022,28
05-03-2022,27
05-04-2022,21
05-05-2022,27
05-06-2022,22
05-07-2022,23
05-08-2022,18
05-09-2022,11
05-10-2022,10
05-11-2022,12
05-12-2022,12
05-13-2022,10
05-14-2022,9
05-15-2022,10
05-16-2022,14
05-17-2022,8
05-18-2022,12
05-19-2022,13
05-20-2022,13
05-21-2022,13
05-22-2022,14
05-23-2022,10
05-24-2022,12
05-25-2022,11
05-26-2022,12
05-27-2022,12
05-28-2022,13
05-29-2022,14
05-30-2022,10
05-31-2022,16
06-01-2022,17
06-02-2022,13
06-03-2022,10
06-04-2022,14
06-05-2022,10
06-06-2022,13
06-07-2022,15
06-08-2022,17
06-09-2022,11
06-10-2022,13
06-11-2022,12
06-12-2022,14
06-13-2022,11
06-14-2022,8
06-15-2022,7
06-16-2022,7
06-17-2022,9
06-18-2022,6
06-19-2022,6
06-20-2022,9
06-21-2022,9
06-22-2022,11
06-23-2022,11
06-24-2022,11
06-25-2022,14
06-26-2022,14
06-27-2022,12
06-28-2022,10
06-29-2022,13
06-30-2022,11
07-01-2022,11
07-02-2022,14
07-03-2022,11
07-04-2022,14
07-05-2022,19
07-06-2022,18
07-07-2022,18
07-08-2022,20
07-09-2022,24
07-10-2022,24
07-11-2022,22
07-12-2022,16
07-13-2022,15
07-14-2022,18
07-15-2022,15
07-16-2022,21
07-17-2022,24
07-18-2022,20
07-19-2022,30
07-20-2022,31
07-21-2022,34
07-22-2022,33
07-23-2022,31
07-24-2022,30
07-25-2022,30
07-26-2022,26
07-27-2022,28
07-28-2022,32
07-29-2022,39
07-30-2022,42
07-31-2022,39
08-01-2022,33
08-02-2022,31
08-03-2022,34
08-04-2022,30
08-05-2022,31
08-06-2022,31
08-07-2022,30
08-08-2022,30
08-09-2022,42
08-10-2022,31
08-11-2022,41
08-12-2022,42
08-13-2022,46
08-14-2022,47
08-15-2022,45
08-16-2022,44
08-17-2022,41
08-18-2022,30
08-19-2022,33
08-20-2022,29
08-21-2022,27
08-22-2022,29
08-23-2022,28
08-24-2022,25
08-25-2022,25
08-26-2022,27
08-27-2022,28
08-28-2022,28
08-29-2022,24
08-30-2022,27
08-31-2022,23
09-01-2022,20
09-02-2022,25
09-03-2022,21
09-04-2022,20
09-05-2022,23
09-06-2022,22
09-07-2022,24
09-08-2022,20
09-09-2022,22
09-10-2022,28
09-11-2022,26
09-12-2022,25
09-13-2022,34
09-14-2022,27
09-15-2022,28
09-16-2022,20
09-17-2022,22
09-18-2022,27
09-19-2022,21
09-20-2022,23
09-21-2022,23
09-22-2022,22
09-23-2022,20
09-24-2022,24
09-25-2022,24
09-26-2022,21
09-27-2022,20
09-28-2022,20
09-29-2022,22
09-30-2022,21
10-01-2022,20
10-02-2022,24
10-03-2022,24
10-04-2022,20
10-05-2022,25
10-06-2022,26
10-07-2022,23
10-08-2022,24
10-09-2022,22
10-10-2022,22
10-11-2022,24
10-12-2022,20
10-13-2022,20
10-14-2022,24
10-15-2022,24
10-16-2022,24
10-17-2022,20
10-18-2022,22
10-19-2022,23
10-20-2022,23
10-21-2022,23
10-22-2022,20
10-23-2022,23
10-24-2022,22
10-25-2022,20
10-26-2022,33
10-27-2022,32
10-28-2022,30
10-29-2022,34
10-30-2022,34
10-31-2022,31
11-01-2022,30
11-02-2022,30
11-03-2022,30
11-04-2022,30
11-05-2022,38
11-06-2022,40
11-07-2022,33
11-08-2022,31
11-09-2022,29
11-10-2022,22
11-11-2022,25
11-12-2022,21
11-13-2022,22
11-14-2022,24
11-15-2022,22
11-16-2022,23
11-17-2022,20
11-18-2022,23
11-19-2022,23
11-20-2022,24
11-21-2022,21
11-22-2022,22
11-23-2022,22
11-24-2022,20
11-25-2022,20
11-26-2022,22
11-27-2022,26
11-28-2022,28
11-29-2022,26
11-30-2022,29
12-01-2022,27
12-02-2022,27
12-03-2022,27
12-04-2022,26
12-05-2022,26
12-06-2022,25
12-07-2022,29
12-08-2022,25
12-09-2022,26
12-10-2022,27
12-11-2022,26
12-12-2022,27
12-13-2022,27
12-14-2022,30
12-15-2022,31
12-16-2022,29
12-17-2022,28
12-18-2022,26
12-19-2022,29
12-20-2022,29
12-21-2022,26
12-22-2022,28
12-23-2022,27
12-24-2022,29
12-25-2022,29
12-26-2022,28
12-27-2022,27
12-28-2022,28
12-29-2022,28
12-30-2022,28
12-31-2022,25
01-01-2023,26
01-02-2023,27
01-03-2023,26
01-04-2023,29
01-05-2023,29
01-06-2023,26
01-07-2023,25
01-08-2023,25
01-09-2023,25
01-10-2023,26
01-11-2023,26
01-12-2023,30
01-13-2023,31
01-14-2023,46
01-15-2023,52
01-16-2023,45
01-17-2023,51
01-18-2023,52
01-19-2023,45
01-20-2023,51
01-21-2023,53
01-22-2023,53
01-23-2023,50
01-24-2023,52
01-25-2023,51
01-26-2023,54
01-27-2023,55
01-28-2023,52
01-29-2023,55
01-30-2023,61
01-31-2023,51
02-01-2023,56
02-02-2023,60
02-03-2023,60
02-04-2023,58
02-05-2023,58
02-06-2023,56
02-07-2023,54
02-08-2023,58
02-09-2023,55
02-10-2023,48
02-11-2023,49
02-12-2023,50
02-13-2023,48
02-14-2023,50
02-15-2023,53
02-16-2023,62
02-17-2023,61
02-18-2023,60
02-19-2023,60
02-20-2023,58
02-21-2023,60
02-22-2023,59
02-23-2023,56
02-24-2023,53
02-25-2023,52
02-26-2023,51
02-27-2023,50
02-28-2023,53
03-01-2023,50
03-02-2023,51
03-03-2023,50
03-04-2023,50
03-05-2023,47
03-06-2023,48
03-07-2023,49
03-08-2023,50
03-09-2023,44
03-10-2023,34
03-11-2023,33
03-12-2023,33
03-13-2023,49
03-14-2023,56
03-15-2023,50
03-16-2023,52
03-17-2023,51
03-18-2023,64
03-19-2023,63
03-20-2023,66
03-21-2023,68
03-22-2023,62
03-23-2023,57
03-24-2023,61
03-25-2023,64
03-26-2023,64
03-27-2023,64
03-28-2023,59
03-29-2023,57
03-30-2023,60
03-31-2023,63
04-01-2023,61
04-02-2023,63
04-03-2023,63
04-04-2023,62
04-05-2023,62
04-06-2023,63
04-07-2023,64
04-08-2023,61
04-09-2023,61
04-10-2023,62
04-11-2023,68
04-12-2023,65
04-13-2023,61
04-14-2023,68
04-15-2023,68
04-16-2023,68
04-17-2023,69
04-18-2023,58
04-19-2023,63
04-20-2023,52
